"Antal nyfödda efter tilltalsnamn och år"

"tilltalsnamn","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"Aaliyah",..,..,..,..,..,..,..,..,..,..,..,..,..,..,17,14,..
"Abigail ",..,..,..,..,..,..,..,..,..,..,10,..,13,15,18,13,17
"Ada",..,..,..,14,..,12,12,14,14,12,14,21,25,22,23,24,29
"Adela",..,..,10,..,..,12,..,..,12,13,..,..,13,..,15,10,..
"Adele ",..,..,..,..,..,..,..,..,..,..,10,..,..,14,44,54,89
"Adéle",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11
"Adèle ",..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..
"Adelia",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,15
"Adelina",12,..,..,10,10,..,..,..,..,..,..,10,..,13,12,..,20
"Adeline",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11
"Adelle",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,17
"Adina",22,26,18,29,22,15,25,23,24,27,12,23,15,..,19,10,12
"Adna",..,..,..,..,..,..,..,12,..,..,..,..,..,..,..,12,14
"Adriana",..,..,..,..,12,..,..,12,..,15,19,23,20,19,23,29,29
"Agnes",222,256,271,362,397,441,472,476,921,618,580,575,586,570,570,581,668
"Ahlam",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12
"Aicha",..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..
"Aida",15,20,16,..,10,..,10,14,13,11,12,11,13,14,13,18,12
"Aina",..,..,..,..,..,..,16,12,15,13,12,14,10,11,..,12,15
"Aisha",14,..,10,12,15,13,28,33,26,26,52,44,43,54,68,80,80
"Ajla",15,10,..,..,22,18,28,27,26,26,19,16,19,22,17,27,24
"Alba",..,..,14,14,22,14,17,19,23,15,28,32,25,33,33,33,52
"Albina",..,..,..,..,14,..,..,..,..,..,..,..,..,..,..,..,..
"Alde",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,11
"Alea",..,..,..,..,..,..,..,..,..,..,..,..,13,12,20,18,12
"Aleksandra",10,15,..,10,12,..,..,..,..,10,..,..,10,..,10,..,..
"Alessia ",..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,12,14
"Alexandra",279,373,298,247,279,190,205,186,159,138,120,118,115,106,96,101,89
"Alexia",11,..,..,..,..,11,..,11,..,15,15,23,24,25,32,42,36
"Alexis ",..,..,..,..,..,..,..,..,..,..,..,..,16,12,..,..,11
"Alexsandra",..,..,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Aleyna ",..,..,..,..,..,..,..,..,12,..,15,..,..,..,..,..,..
"Alia ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,10,..
"Alice",389,375,455,443,514,664,755,886,799,779,747,953,844,966,919,879,778
"Alicia",235,180,189,211,258,320,339,360,367,358,433,437,435,404,512,602,518
"Alicja",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11
"Alida ",..,..,..,..,..,..,..,..,..,..,..,..,10,..,..,..,..
"Alina",21,22,18,22,29,34,58,42,46,34,46,53,58,58,57,82,90
"Aline",..,..,..,..,..,..,..,..,..,..,10,15,11,..,..,11,17
"Alin",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
"Alisa ",..,..,..,..,..,..,10,14,14,18,13,14,24,20,26,29,29
"Alisha ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,..,14
"Alissa ",..,..,..,..,..,..,10,..,..,13,..,16,17,24,25,27,33
"Aliyah",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
"Aliya ",..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,17
"Allie ",..,..,..,..,..,..,..,..,..,..,..,12,..,12,14,24,19
"Allis",..,..,..,..,10,..,18,19,18,24,14,19,16,12,12,13,13
"Ally ",..,..,..,..,..,..,..,..,..,..,14,12,11,22,17,23,27
"Alma",144,218,235,292,339,373,401,423,415,452,441,484,506,458,410,447,532
"Althea",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11
"Alva",290,354,451,546,683,830,833,844,895,753,701,754,699,592,569,590,509
"Alwa",..,..,..,..,17,19,11,17,21,27,21,16,12,26,26,17,25
"Alvina",..,..,10,..,10,11,11,14,14,19,17,15,18,20,18,12,18
"Alyssa",..,..,..,..,..,..,..,..,..,..,12,..,11,..,11,11,14
"Amalia",16,24,14,21,12,19,21,19,14,19,13,14,22,24,12,21,22
"Amal",..,..,..,..,..,..,..,..,..,..,10,..,..,..,..,..,14
"Amanda",1037,974,897,853,787,739,702,667,549,598,597,538,474,431,374,353,323
"Amber",..,..,..,..,..,..,11,13,..,..,..,..,11,..,12,..,..
"Amela",..,..,10,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Amelia",68,37,23,28,34,27,40,115,149,101,69,78,84,99,87,105,135
"Amelie",22,17,20,23,32,43,44,56,57,42,45,49,54,52,54,64,61
"Amélie ",..,..,..,..,..,..,..,11,..,11,..,11,11,14,17,12,29
"Amie ",..,..,..,..,..,..,..,..,..,10,10,..,..,..,..,12,..
"Amilia",..,..,..,..,12,11,..,20,16,16,18,13,23,21,28,22,22
"Amina",37,30,33,40,37,41,43,32,56,49,44,61,68,60,56,84,59
"Amira",..,10,..,..,17,..,21,14,14,23,17,16,29,30,45,42,57
"Amna",..,..,..,..,..,..,..,..,..,..,..,..,..,11,..,..,..
"Amy",15,11,14,19,19,26,16,26,28,28,20,29,19,28,29,20,30
"AnaBelle",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10
"Ana",..,..,..,..,..,..,..,..,..,..,12,..,10,..,..,..,..
"Anastasia",22,10,12,20,14,15,27,19,22,13,24,13,13,21,29,27,26
"Anastasija",..,..,..,..,..,..,..,10,..,..,..,..,..,..,..,10,..
"Andrea",97,83,102,97,84,98,78,60,51,55,49,35,34,46,42,23,32
"Andréa",13,10,15,15,16,17,..,12,..,..,..,..,..,..,..,..,..
"Angela",13,12,..,14,18,16,20,..,19,..,20,17,21,18,23,14,19
"Angelica",112,94,64,73,72,64,44,45,40,43,37,30,30,19,25,11,15
"Angelika",18,13,14,10,..,..,..,..,11,..,..,..,..,..,..,..,..
"Angelina",20,..,14,31,41,58,56,99,149,111,112,106,104,86,105,70,65
"Anisa",..,..,11,..,..,..,..,..,..,11,11,16,17,16,16,14,12
"Anita",..,..,10,12,..,11,..,..,13,..,..,..,11,..,..,11,..
"Anja",21,26,29,36,36,45,32,25,29,33,22,28,23,19,..,14,16
"Annabelle ",..,..,..,..,..,..,..,..,..,..,..,..,11,..,17,15,12
"Anna",536,504,471,435,437,432,351,294,293,246,177,168,162,152,136,127,121
"Annie",143,137,118,157,121,132,123,128,109,119,115,104,128,117,124,99,96
"Anni",..,..,..,..,..,10,..,..,..,11,13,..,..,16,11,14,11
"Annika",37,26,14,19,..,11,11,13,16,11,..,..,12,13,..,..,12
